Timestamp,temp_cpu,util_total,util_core_avg,active_cores,clk_eff_avg,clk_eff_avg_alt,power_pkg,power_core,power_soc,current_core,current_tdc,current_edc,mem_load,mem_used,dram_read_bw,dram_write_bw,fan_rpm,thermal_limit
2026-02-05 19:05:46.351,92.8,61.7,61.7,5.8,2594.2,2594.2,54.062,46.91,2.993,37.219,37.434,104.552,60.8,9491,0.979,0.218,2700,99.8
2026-02-05 19:05:46.864,93.0,68.7,68.7,6.6,2995.6,2995.6,59.108,51.963,3.05,41.227,40.006,108.899,60.8,9493,2.27,0.355,2700,99.9
2026-02-05 19:05:47.366,93.1,62.8,62.8,6.0,2712.9,2712.9,56.307,49.243,3.012,38.931,39.922,107.69,60.8,9501,1.373,0.274,2700,99.9
2026-02-05 19:05:47.868,93.1,61.8,61.8,5.6,2560.0,2560.0,52.696,45.69,2.976,36.375,36.878,102.598,60.8,9495,1.131,0.221,2800,100.0
2026-02-05 19:05:48.386,93.2,60.9,60.9,5.7,2682.0,2682.0,55.775,48.727,3.008,38.286,37.43,109.197,60.8,9497,1.109,0.256,2700,99.8
2026-02-05 19:05:48.878,93.2,62.8,62.8,5.9,2706.2,2706.2,54.141,47.049,3.028,37.513,38.07,106.847,60.8,9498,1.605,0.275,2700,100.1
2026-02-05 19:05:49.396,93.2,63.5,63.5,5.8,2711.9,2711.9,53.221,46.124,3.03,36.938,37.088,104.863,60.9,9507,1.759,0.324,2700,100.0
2026-02-05 19:05:49.891,93.2,61.8,61.8,5.7,2673.9,2673.9,55.519,48.459,3.012,38.104,37.904,108.134,60.9,9510,1.353,0.235,2800,99.9
2026-02-05 19:05:50.393,92.4,69.4,69.4,6.7,2594.7,2594.7,56.19,49.022,3.06,37.872,38.247,106.577,60.9,9516,2.461,0.405,2700,95.5
2026-02-05 19:05:50.893,90.8,64.0,64.0,6.1,2172.0,2172.0,47.789,40.703,3.027,31.777,32.605,97.527,60.9,9516,1.696,0.244,2700,90.2
2026-02-05 19:05:51.403,89.1,68.4,68.4,6.3,2292.4,2292.4,48.809,41.684,3.05,32.761,32.96,95.273,61.1,9544,1.852,0.472,2700,88.4
2026-02-05 19:05:51.894,87.9,67.0,67.0,6.3,2317.2,2317.2,50.002,42.911,3.031,33.453,32.688,97.052,61.1,9546,1.714,0.34,2700,89.0
2026-02-05 19:05:52.398,87.1,68.6,68.6,6.7,2427.0,2427.0,52.9,45.686,3.1,35.32,35.153,102.49,61.1,9546,2.649,0.449,2700,90.0
2026-02-05 19:05:52.888,86.4,63.6,63.6,6.2,2186.2,2186.2,48.715,41.6,3.053,32.356,32.879,98.16,61.1,9545,1.655,0.32,2700,89.5
2026-02-05 19:05:53.389,84.9,65.3,65.3,6.2,2180.8,2180.8,45.282,38.185,3.036,30.313,30.71,92.173,61.2,9558,1.886,0.349,2700,84.7
2026-02-05 19:05:53.885,84.2,66.7,66.7,6.4,2240.4,2240.4,47.535,40.421,3.042,31.808,31.777,94.73,61.2,9558,2.097,0.341,2700,87.3
2026-02-05 19:05:54.403,83.8,70.7,70.7,6.6,2445.7,2445.7,48.246,41.108,3.048,32.628,31.624,93.227,61.2,9566,2.459,0.602,2700,87.1
2026-02-05 19:05:54.893,83.8,69.2,69.2,6.5,2384.6,2384.6,50.742,43.562,3.075,33.993,34.509,98.494,61.4,9584,2.941,0.354,2700,88.7
